"","Origin","Target","Distance"
"124","Brent","Newham",17.2414993548039
"125","Brent","Redbridge",21.4716295841001
"126","Brent","Richmond upon Thames",24.0134736680712
"127","Brent","Southwark",13.2483508596146
"128","Brent","Sutton",16.3956729498009
"129","Brent","Tower Hamlets",22.7360075379259
"130","Brent","Waltham Forest",16.8610830483565
"131","Brent","Wandsworth",18.1210364344056
"132","Brent","Westminster",13.1401927014914
"133","Bromley","Barking and Dagenham",19.9541754887053
"134","Bromley","Barne",32.6618667277671
"135","Bromley","Bexley",11.7335511286647
"136","Bromley","Brent",30.3822544936967
"137","Bromley","Bromley",0
"138","Bromley","Camden",24.2334253131223
"139","Bromley","City of London",18.7406085173144
"140","Bromley","Croydon",21.5594798128179
"141","Bromley","Ealing",9.83529716194732
"142","Bromley","Enfield",31.4218372347173
"143","Bromley","Greenwich",32.4985839079622
"144","Bromley","Hackney",11.3996094879641
"145","Bromley","Hammersmith and Fulham",21.5845013237711
"146","Bromley","Haringey",23.3619167577674
"147","Bromley","Harrow",26.6868596780173
"148","Bromley","Havering",37.0784877405571
"149","Bromley","Hillingdon",24.2844611529376
"150","Bromley","Hounslow",39.361237384847
"151","Bromley","Islington",30.9712349551804
"152","Bromley","Kensington and Chelsea",22.6249746040387
"153","Bromley","Kingston upon Thames",22.2221381195011
"154","Bromley","Lambeth",23.6265918660346
"155","Bromley","Lewisham",14.9159321159665
"156","Bromley","Merton",9.84873973185672
"157","Bromley","Newham",17.8219142488129
"158","Bromley","Redbridge",17.2593366696986
"159","Bromley","Richmond upon Thames",23.8296803756966
"160","Bromley","Southwark",26.5124467619949
"161","Bromley","Sutton",14.3409190816153
"162","Bromley","Tower Hamlets",15.9911986505938
"163","Bromley","Waltham Forest",17.0773174251915
"164","Bromley","Wandsworth",25.0992568456456
"165","Bromley","Westminster",18.7791001316656
"166","Camden","Barking and Dagenham",20.1570827194613
"167","Camden","Barne",8.56028188696953
"168","Camden","Bexley",22.8826535926408
"169","Camden","Brent",7.77438869849197
"170","Camden","Bromley",24.2334253131223
"171","Camden","Camden",0
"172","Camden","City of London",5.7427541962336
"173","Camden","Croydon",3.67142164854778
"174","Camden","Ealing",21.8085376474649
"175","Camden","Enfield",12.3340924755061
"176","Camden","Greenwich",12.6099723967964
"177","Camden","Hackney",16.8108518875738
"178","Camden","Hammersmith and Fulham",6.55884939236749
"179","Camden","Haringey",7.21189862474782
"180","Camden","Harrow",5.99367612599619
"181","Camden","Havering",13.9651434020334
"182","Camden","Hillingdon",26.2685790445073
"183","Camden","Hounslow",20.0002480970371
"184","Camden","Islington",16.8833161490867
"185","Camden","Kensington and Chelsea",3.27974183374291
"186","Camden","Kingston upon Thames",5.57651822261539
"187","Camden","Lambeth",19.7939328522653
"188","Camden","Lewisham",10.6487253485884
"189","Camden","Merton",14.483698654856
"190","Camden","Newham",15.4277340759837
"191","Camden","Redbridge",13.6980368776956
"192","Camden","Richmond upon Thames",16.7525725511927
"193","Camden","Southwark",15.7699895298322
"194","Camden","Sutton",9.89545545848232
"195","Camden","Tower Hamlets",20.5493365267796
"196","Camden","Waltham Forest",9.17445785321427
"197","Camden","Wandsworth",11.3486569202789
"198","Camden","Westminster",10.6913682290357
"199","City of London","Barking and Dagenham",15.995126517608
"200","City of London","Barne",13.935492823232
"201","City of London","Bexley",17.3597867149612
"202","City of London","Brent",13.1196422102878
"203","City of London","Bromley",18.7406085173144
"204","City of London","Camden",5.7427541962336
"205","City of London","City of London",0
"206","City of London","Croydon",4.72248355900886
"207","City of London","Ealing",17.7015592457831
"208","City of London","Enfield",16.5817382046052
"209","City of London","Greenwich",15.1974503210784
"210","City of London","Hackney",11.1970988485122
"211","City of London","Hammersmith and Fulham",4.67027636446006
"212","City of London","Haringey",9.1674264952598
"213","City of London","Harrow",8.51397215211698
"214","City of London","Havering",19.5858335342875
"215","City of London","Hillingdon",22.3700263751623
"216","City of London","Hounslow",24.6924338908879
"217","City of London","Islington",19.6818185215041
"218","City of London","Kensington and Chelsea",3.98623387578023
"219","City of London","Kingston upon Thames",7.08010605513066
"220","City of London","Lambeth",19.5133035057142
"221","City of London","Lewisham",6.97496300949942
"222","City of London","Merton",8.90173095293341
"223","City of London","Newham",13.7139855132263
"224","City of London","Redbridge",9.12665321909184
"225","City of London","Richmond upon Thames",14.1086819002923
"226","City of London","Southwark",17.2317270099587
"227","City of London","Sutton",4.64880495504911
"228","City of London","Tower Hamlets",17.9483398511332
"229","City of London","Waltham Forest",4.01308835919027
"230","City of London","Wandsworth",10.4424241974909
"231","City of London","Westminster",9.52074207929855
"232","Croydon","Barking and Dagenham",20.6545910929654
"233","Croydon","Barne",11.9165772130141
"234","Croydon","Bexley",21.8281560966484
"235","Croydon","Brent",8.98024557710251
"236","Croydon","Bromley",21.5594798128179
"237","Croydon","Camden",3.67142164854778
"238","Croydon","City of London",4.72248355900886
"239","Croydon","Croydon",0
"240","Croydon","Ealing",18.3129052392094
"241","Croydon","Enfield",11.8793968044736
"242","Croydon","Greenwich",16.1201250673843
"243","Croydon","Hackney",15.6143633090976
"244","Croydon","Hammersmith and Fulham",8.00472563326081
"245","Croydon","Haringey",4.66271530308018
"246","Croydon","Harrow",9.31346062269968
"247","Croydon","Havering",15.6553971154489
"248","Croydon","Hillingdon",26.9946788739992
"249","Croydon","Hounslow",20.0328513667573
"250","Croydon","Islington",15.1337700576614
"251","Croydon","Kensington and Chelsea",5.22795789122122
"252","Croydon","Kingston upon Thames",2.59061203817003
"253","Croydon","Lambeth",16.5010157471692
"254","Croydon","Lewisham",7.24886586336604
"255","Croydon","Merton",12.1384138797572
"256","Croydon","Newham",11.792664629706
"257","Croydon","Redbridge",13.8224074594382
"258","Croydon","Richmond upon Thames",18.2529214320779
"259","Croydon","Southwark",13.1600131303792
"260","Croydon","Sutton",7.41783009077059
"261","Croydon","Tower Hamlets",16.878175316411
"262","Croydon","Waltham Forest",8.7353372223989
"263","Croydon","Wandsworth",13.6170920514424
"264","Croydon","Westminster",7.06739760414193
"265","Ealing","Barking and Dagenham",25.9785928441684
"266","Ealing","Barne",30.2291441230266
"267","Ealing","Bexley",19.8200469999732
"268","Ealing","Brent",25.8592170421387
"269","Ealing","Bromley",9.83529716194732
"270","Ealing","Camden",21.8085376474649
"271","Ealing","City of London",17.7015592457831
"272","Ealing","Croydon",18.3129052392094
"273","Ealing","Ealing",0
"274","Ealing","Enfield",25.162284547313
"275","Ealing","Greenwich",32.8910030296029
"276","Ealing","Hackney",16.5560544327619
"277","Ealing","Hammersmith and Fulham",21.9710254001507
"278","Ealing","Haringey",18.1046472311515
"279","Ealing","Harrow",26.1856553056501
"280","Ealing","Havering",32.2276856375896
"281","Ealing","Hillingdon",31.4834782107858
"282","Ealing","Hounslow",32.3984054399076
"283","Ealing","Islington",23.1332691913095
"284","Ealing","Kensington and Chelsea",21.547437385
"285","Ealing","Kingston upon Thames",17.7963573511297
"286","Ealing","Lambeth",14.3715312992313
"287","Ealing","Lewisham",11.1703404466445
"288","Ealing","Merton",11.3397318456884
"289","Ealing","Newham",9.77979939231018
"290","Ealing","Redbridge",20.9624129777817
"291","Ealing","Richmond upon Thames",28.0150112312737
"292","Ealing","Southwark",18.4426188808384
"293","Ealing","Sutton",13.2590430811467
"294","Ealing","Tower Hamlets",6.34103947191993
"295","Ealing","Waltham Forest",18.2148732240236
"296","Ealing","Wandsworth",27.0536446634796
"297","Ealing","Westminster",12.7698064238255
"298","Enfield","Barking and Dagenham",32.293099162573
"299","Enfield","Barne",13.3653259376174
"300","Enfield","Bexley",33.5784068845919
"301","Enfield","Brent",5.94379292429971
"302","Enfield","Bromley",31.4218372347173
"303","Enfield","Camden",12.3340924755061
"304","Enfield","City of London",16.5817382046052
"305","Enfield","Croydon",11.8793968044736
"306","Enfield","Ealing",25.162284547313
"307","Enfield","Enfield",0
"308","Enfield","Greenwich",22.1288857450911
"309","Enfield","Hackney",27.3664725432795
"310","Enfield","Hammersmith and Fulham",18.8642406904517
"311","Enfield","Haringey",8.2398405413291
"312","Enfield","Harrow",17.243265004859
"313","Enfield","Havering",8.39983463887082
"314","Enfield","Hillingdon",38.5171350634753
"315","Enfield","Hounslow",8.22948488930674
"316","Enfield","Islington",6.4810823652176
"317","Enfield","Kensington and Chelsea",15.5866553223344
"318","Enfield","Kingston upon Thames",9.92084833008382
"319","Enfield","Lambeth",15.2807549093382
"320","Enfield","Lewisham",16.6287755329241
"321","Enfield","Merton",23.1050533879902
"322","Enfield","Newham",15.5903093603943
"323","Enfield","Redbridge",25.579658383025
"324","Enfield","Richmond upon Thames",29.0780822548883
"325","Enfield","Southwark",8.96289539113149
"326","Enfield","Sutton",18.6307700425441
"327","Enfield","Tower Hamlets",20.7864578726646
"328","Enfield","Waltham Forest",20.5808978697922
"329","Enfield","Wandsworth",23.4667824754895
"330","Enfield","Westminster",12.7539986692646
"331","Greenwich","Barking and Dagenham",19.3654338872199
"332","Greenwich","Barne",9.34591125916432
"333","Greenwich","Bexley",26.4736872197998
"334","Greenwich","Brent",16.1908364086418
"335","Greenwich","Bromley",32.4985839079622
"336","Greenwich","Camden",12.6099723967964
"337","Greenwich","City of London",15.1974503210784
"338","Greenwich","Croydon",16.1201250673843
"339","Greenwich","Ealing",32.8910030296029
"340","Greenwich","Enfield",22.1288857450911
"341","Greenwich","Greenwich",0
"342","Greenwich","Hackney",21.9961989167652
"343","Greenwich","Hammersmith and Fulham",11.1072887399018
"344","Greenwich","Haringey",19.6658932735845
"345","Greenwich","Harrow",6.8869647498129
"346","Greenwich","Havering",18.5588697740143
"347","Greenwich","Hillingdon",23.4493226939786
"348","Greenwich","Hounslow",27.657745905539
"349","Greenwich","Islington",28.0366400508497
"350","Greenwich","Kensington and Chelsea",11.5138890936341
"351","Greenwich","Kingston upon Thames",18.1810813774525
"352","Greenwich","Lambeth",32.3806999591617
"353","Greenwich","Lewisham",22.0381365840473
"354","Greenwich","Merton",23.0237937131425
"355","Greenwich","Newham",27.8781764268831
"356","Greenwich","Redbridge",16.2911175400431
"357","Greenwich","Richmond upon Thames",13.4329882714103
"358","Greenwich","Southwark",27.9351810023273
"359","Greenwich","Sutton",19.6847141467917
"360","Greenwich","Tower Hamlets",32.7431997895368
"361","Greenwich","Waltham Forest",15.4813501387159
"362","Greenwich","Wandsworth",8.17690190536328
"363","Greenwich","Westminster",23.1775344164362
"364","Hackney","Barking and Dagenham",9.4264387822055
"365","Hackney","Barne",24.2356166780728
"366","Hackney","Bexley",6.21711923163597
"367","Hackney","Brent",24.3151804742654
"368","Hackney","Bromley",11.3996094879641
"369","Hackney","Camden",16.8108518875738
"370","Hackney","City of London",11.1970988485122
"371","Hackney","Croydon",15.6143633090976
"372","Hackney","Ealing",16.5560544327619
"373","Hackney","Enfield",27.3664725432795
"374","Hackney","Greenwich",21.9961989167652
"375","Hackney","Hackney",0
"376","Hackney","Hammersmith and Fulham",11.9598112079279
"377","Hackney","Haringey",19.3273084835846
"378","Hackney","Harrow",17.1546707062801
"379","Hackney","Havering",30.7559687828512
"380","Hackney","Hillingdon",15.1085610595256
"381","Hackney","Hounslow",35.5819652911758
"382","Hackney","Islington",29.3041134383735
"383","Hackney","Kensington and Chelsea",14.1526891070512
"384","Hackney","Kingston upon Thames",17.4620427864984
"385","Hackney","Lambeth",25.6844233986899
